index,result,time,csm_result,csm_time
chc-lia-lin-0197.smt2,sat,30.34,sat,14.44
chc-lia-lin-0198.smt2,sat,45.54,sat,77.24
chc-lia-lin-0199.smt2,sat,271.85,timeout,929.84
chc-lia-lin-0200.smt2,timeout,927.92,timeout,927.74
chc-lia-lin-0201.smt2,unsat,0.31,unsat,0.36
chc-lia-lin-0202.smt2,sat,0.75,sat,0.76
chc-lia-lin-0203.smt2,sat,1.07,sat,1.27
chc-lia-lin-0204.smt2,sat,1.08,sat,1.26
chc-lia-lin-0205.smt2,sat,1.70,sat,1.57
chc-lia-lin-0206.smt2,sat,2.07,sat,2.50
chc-lia-lin-0207.smt2,sat,2.04,sat,2.11
chc-lia-lin-0208.smt2,sat,2.07,sat,2.27
chc-lia-lin-0209.smt2,sat,1.98,sat,4.18
chc-lia-lin-0210.smt2,sat,1.79,sat,2.65
chc-lia-lin-0211.smt2,sat,2.43,sat,2.81
chc-lia-lin-0212.smt2,sat,3.52,sat,4.18
chc-lia-lin-0213.smt2,sat,4.15,sat,3.18
chc-lia-lin-0214.smt2,sat,3.99,sat,3.23
chc-lia-lin-0215.smt2,sat,3.20,sat,4.51
chc-lia-lin-0216.smt2,sat,3.70,sat,5.44
chc-lia-lin-0217.smt2,sat,2.97,sat,4.98
chc-lia-lin-0218.smt2,sat,3.00,sat,4.03
chc-lia-lin-0219.smt2,sat,3.73,sat,3.20
chc-lia-lin-0220.smt2,sat,3.65,sat,4.95
chc-lia-lin-0221.smt2,sat,3.89,sat,5.05
chc-lia-lin-0222.smt2,sat,3.90,sat,5.00
chc-lia-lin-0223.smt2,sat,6.21,sat,5.85
chc-lia-lin-0224.smt2,sat,4.09,sat,5.65
chc-lia-lin-0225.smt2,sat,4.08,sat,5.61
chc-lia-lin-0226.smt2,sat,4.09,sat,6.13
chc-lia-lin-0227.smt2,sat,5.87,sat,7.40
chc-lia-lin-0228.smt2,sat,5.42,sat,6.72
chc-lia-lin-0229.smt2,sat,6.41,sat,7.67
chc-lia-lin-0230.smt2,sat,4.70,sat,6.74
chc-lia-lin-0231.smt2,sat,7.40,sat,6.13
chc-lia-lin-0232.smt2,sat,7.27,sat,6.48
chc-lia-lin-0233.smt2,sat,5.49,sat,5.81
